participant.id,participant.code,participant.label,assigned_role,group.id,final.offer,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,
17,nrnoj6qg,SUB21,P1,1,50,1,50,50,,,,,50,50,5,
18,xxbh4lrv,SUB17,P1,12,45,1,55,45,,,,,55,45,5,
20,r33ctke4,SUB24,P1,7,45,1,55,45,,,,,55,45,5,
21,j24dnhl0,SUB22,P1,13,48,1,52,48,,,,,52,48,5,
22,cmlex1p5,SUB23,P1,5,40,1,60,40,,,,,60,40,5,
23,p31wvp65,SUB19,P2,13,48,1,52,48,,,,,52,48,5,
24,eao94et7,SUB25,P2,6,50,1,50,50,,,,,50,50,5,
25,bumndept,SUB26,P2,10,40,1,60,40,,,,,60,40,5,
1,1mbbiopp,SUB01,P1,5,50,1,50,50,,,,,50,50,6,
2,dn2p4u55,SUB02,P2,4,45,1,55,45,,,,,55,45,6,
3,pxpnz9t4,SUB03,P1,2,40,1,60,40,,,,,60,40,6,
4,f0vz9i76,SUB04,P1,8,45,1,55,45,,,,,55,45,6,
5,bl2webs9,SUB05,P2,11,43,1,57,43,,,,,57,43,6,
6,ii6hl0lg,SUB08,P1,7,50,1,50,50,,,,,50,50,6,
8,n611npof,SUB09,P1,3,45,1,55,45,,,,,55,45,6,
9,0vwq6zco,SUB10,P2,5,50,1,50,50,,,,,50,50,6,
10,502qb8y9,SUB11,P1,4,45,1,55,45,,,,,55,45,6,
11,hoosbwbd,SUB13,P2,1,40,1,60,40,,,,,60,40,6,
12,7y4r0mgk,SUB12,P1,9,60,1,40,60,,,,,40,60,6,
13,72kxcuck,SUB15,P2,7,50,1,50,50,,,,,50,50,6,
14,l9q500py,SUB14,P2,3,45,1,55,45,,,,,55,45,6,
15,2p0g017c,SUB16,P1,13,30,1,70,30,,,,,70,30,6,
16,0klbfy7w,SUB18,P1,1,40,1,60,40,,,,,60,40,6,
17,nrnoj6qg,SUB21,P1,6,50,1,50,50,,,,,50,50,6,
18,xxbh4lrv,SUB17,P2,9,60,1,40,60,,,,,40,60,6,
19,v2i3lbyw,SUB20,P2,10,30,1,70,30,,,,,70,30,6,
21,j24dnhl0,SUB22,P2,2,40,1,60,40,,,,,60,40,6,
22,cmlex1p5,SUB23,P1,11,43,1,57,43,,,,,57,43,6,
23,p31wvp65,SUB19,P2,6,50,1,50,50,,,,,50,50,6,
24,eao94et7,SUB25,P2,13,30,1,70,30,,,,,70,30,6,
25,bumndept,SUB26,P2,8,45,1,55,45,,,,,55,45,6,
26,p510d7qp,SUB27,P1,10,30,1,70,30,,,,,70,30,6,
1,1mbbiopp,SUB01,P1,12,50,1,50,50,,,,,50,50,7,
