"participant.id","participant.code","participant.label","assigned_role","group.id","final.offer","final.stage","s1.p1_points","s1.p2_points","s2.p1_points","s2.p2_points","s3.p1_points","s3.p2_points","p1_discounted_points","p2_discounted_points","round_number","treatment","AI","Transfer","accept.stage1","accept.stage2","accept.stage3","accept.stage4"
4,"f0vz9i76","SUB04","P2",8,35,1,65,35,NA,NA,NA,NA,65,35,8,"T1",0,0,1,0,0,0
5,"bl2webs9","SUB05","P1",9,50,1,50,50,NA,NA,NA,NA,50,50,8,"T1",0,0,1,0,0,0
6,"ii6hl0lg","SUB08","P2",1,50,1,50,50,NA,NA,NA,NA,50,50,8,"T1",0,0,1,0,0,0
7,"v85u2gl4","SUB07","P2",12,50,1,50,50,NA,NA,NA,NA,50,50,8,"T1",0,0,1,0,0,0
8,"n611npof","SUB09","P1",1,50,1,50,50,NA,NA,NA,NA,50,50,8,"T1",0,0,1,0,0,0
9,"0vwq6zco","SUB10","P1",8,35,1,65,35,NA,NA,NA,NA,65,35,8,"T1",0,0,1,0,0,0
10,"502qb8y9","SUB11","P2",4,65,1,35,65,NA,NA,NA,NA,35,65,8,"T1",0,0,1,0,0,0
11,"hoosbwbd","SUB13","P2",10,40,1,60,40,NA,NA,NA,NA,60,40,8,"T1",0,0,1,0,0,0
14,"l9q500py","SUB14","P1",7,42,1,58,42,NA,NA,NA,NA,58,42,8,"T1",0,0,1,0,0,0
15,"2p0g017c","SUB16","P1",13,28,1,72,28,NA,NA,NA,NA,72,28,8,"T1",0,0,1,0,0,0
16,"0klbfy7w","SUB18","P1",6,40,1,60,40,NA,NA,NA,NA,60,40,8,"T1",0,0,1,0,0,0
17,"nrnoj6qg","SUB21","P1",12,50,1,50,50,NA,NA,NA,NA,50,50,8,"T1",0,0,1,0,0,0
18,"xxbh4lrv","SUB17","P2",11,25,1,75,25,NA,NA,NA,NA,75,25,8,"T1",0,0,1,0,0,0
19,"v2i3lbyw","SUB20","P1",11,25,1,75,25,NA,NA,NA,NA,75,25,8,"T1",0,0,1,0,0,0
20,"r33ctke4","SUB24","P2",9,50,1,50,50,NA,NA,NA,NA,50,50,8,"T1",0,0,1,0,0,0
21,"j24dnhl0","SUB22","P1",10,40,1,60,40,NA,NA,NA,NA,60,40,8,"T1",0,0,1,0,0,0
23,"p31wvp65","SUB19","P2",7,42,1,58,42,NA,NA,NA,NA,58,42,8,"T1",0,0,1,0,0,0
24,"eao94et7","SUB25","P1",4,65,1,35,65,NA,NA,NA,NA,35,65,8,"T1",0,0,1,0,0,0
25,"bumndept","SUB26","P2",6,40,1,60,40,NA,NA,NA,NA,60,40,8,"T1",0,0,1,0,0,0
1,"1mbbiopp","SUB01","P1",1,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
2,"dn2p4u55","SUB02","P1",12,30,1,70,30,NA,NA,NA,NA,70,30,9,"T1",0,0,1,0,0,0
3,"pxpnz9t4","SUB03","P2",8,35,1,65,35,NA,NA,NA,NA,65,35,9,"T1",0,0,1,0,0,0
4,"f0vz9i76","SUB04","P1",3,40,1,60,40,NA,NA,NA,NA,60,40,9,"T1",0,0,1,0,0,0
5,"bl2webs9","SUB05","P1",4,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
6,"ii6hl0lg","SUB08","P2",7,42,1,58,42,NA,NA,NA,NA,58,42,9,"T1",0,0,1,0,0,0
7,"v85u2gl4","SUB07","P1",8,35,1,65,35,NA,NA,NA,NA,65,35,9,"T1",0,0,1,0,0,0
8,"n611npof","SUB09","P2",1,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
9,"0vwq6zco","SUB10","P2",3,40,1,60,40,NA,NA,NA,NA,60,40,9,"T1",0,0,1,0,0,0
10,"502qb8y9","SUB11","P1",9,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
11,"hoosbwbd","SUB13","P1",11,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
12,"7y4r0mgk","SUB12","P2",9,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
14,"l9q500py","SUB14","P1",7,42,1,58,42,NA,NA,NA,NA,58,42,9,"T1",0,0,1,0,0,0
16,"0klbfy7w","SUB18","P1",5,40,1,60,40,NA,NA,NA,NA,60,40,9,"T1",0,0,1,0,0,0
17,"nrnoj6qg","SUB21","P2",11,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
18,"xxbh4lrv","SUB17","P2",12,30,1,70,30,NA,NA,NA,NA,70,30,9,"T1",0,0,1,0,0,0
19,"v2i3lbyw","SUB20","P2",4,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
20,"r33ctke4","SUB24","P1",10,40,1,60,40,NA,NA,NA,NA,60,40,9,"T1",0,0,1,0,0,0
21,"j24dnhl0","SUB22","P2",10,40,1,60,40,NA,NA,NA,NA,60,40,9,"T1",0,0,1,0,0,0
23,"p31wvp65","SUB19","P1",6,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
24,"eao94et7","SUB25","P2",6,50,1,50,50,NA,NA,NA,NA,50,50,9,"T1",0,0,1,0,0,0
25,"bumndept","SUB26","P2",5,40,1,60,40,NA,NA,NA,NA,60,40,9,"T1",0,0,1,0,0,0
1,"1mbbiopp","SUB01","P1",7,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
2,"dn2p4u55","SUB02","P2",3,35,1,65,35,NA,NA,NA,NA,65,35,10,"T1",0,0,1,0,0,0
3,"pxpnz9t4","SUB03","P2",13,25,1,75,25,NA,NA,NA,NA,75,25,10,"T1",0,0,1,0,0,0
4,"f0vz9i76","SUB04","P1",10,40,1,60,40,NA,NA,NA,NA,60,40,10,"T1",0,0,1,0,0,0
5,"bl2webs9","SUB05","P2",7,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
6,"ii6hl0lg","SUB08","P2",2,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
